date,country,magnitude,latitude,longitude,total_deaths,total_damage
1998-05-30,Afghanistan,6.6,37.106,70.11,4700,17953
1920-11-26,Albania,6.2,40.2,20,200,
1980-10-10,Algeria,7.4,36.195,1.354,2633,18466639
2009-09-29,American Samoa,8.1,-15.489,-172.095,34,
1944-01-15,Argentina,7,-31.372,68.436,10000,1663068
1931-04-27,Armenia,6.3,39.2,46,2890,
1989-12-28,Australia,5.4,-32.967,151.619,12,2360754
2000-11-25,Azerbaijan,6.8,40.245,49.946,31,16995
1980-01-01,Azores Islands,6.7,38.815,-27.78,69,17756
1997-11-22,Bangladesh,5.9,22.212,92.702,23,
1983-11-08,Belgium,5,50.37,5.31,2,146915
2009-09-21,Bhutan,8.1,-15.489,-172.095,11,
1998-05-22,Bolivia (Plurinational State of),6.6,-17.731,-65.431,95,
2007-12-09,Brazil,4.9,-15.048,-44.231,1,
1977-03-04,Bulgaria,6.4,45.77,26.76,20,
2004-02-24,Burundi,4.7,-3.393,29.558,3,
1928-11-18,Canada,7.2,48.6,-58,27,
1939-01-24,Chile,8.3,-36.305,-72.315,30000,19372950
1976-07-28,China,7.5,39.57,117.978,242000,28798371
1999-01-25,Colombia,6.2,4.461,-75.724,1186,3263198
1991-04-22,Costa Rica,6.3,9.685,-83.073,47,214885
2020-12-29,Croatia,6.4,45.422,16.255,8,7037208
1953-09-10,Cyprus,6.3,34.741,32.335,40,
2008-02-03,Democratic Republic of the Congo,5.9,-2.296,28.9,11,9515
1946-08-04,Dominican Republic,7.9,19.25,-69,73,
1949-08-05,Ecuador,6.8,-1.5,-78.2,6000,245966
1992-10-12,Egypt,5.9,29.888,31.223,552,2502809
1951-05-06,El Salvador,6.5,13.3,-87.8,1100,258927
1961-06-02,Ethiopia,6.5,10.4,39.9,30,
1909-06-11,France,6.2,44.05,6.14,46,
1991-06-15,Georgia,6.3,42.8,44,8,
1992-04-13,Germany,5.6,51.153,5.798,1,104284
1939-06-22,Ghana,6.4,5.552,-0.628,22,
1953-08-12,Greece,6.8,38.182,20.942,476,1092164
2004-11-21,Guadeloupe,6.3,15.679,-61.706,1,
1976-02-04,Guatemala,7.5,15.324,-89.101,23000,5142566
1983-12-22,Guinea,6.2,11.866,-13.529,443,23506
2010-01-12,Haiti,7,18.443,-72.571,222570,10736894
2009-05-28,Honduras,7.3,16.731,-86.217,7,136412
1976-01-13,Iceland,6.4,66.157,-16.582,1,
2001-01-26,India,7.7,23.419,70.232,20005,4335281
2004-12-26,Indonesia,9.1,3.295,95.982,165708,6897286
1990-06-21,Iran (Islamic Republic of),7.3,36.961,49.414,40000,17918788
1991-07-27,Iraq,5.6,36.12,44.01,20,
1903-03-30,Israel,5.7,32.2,35.3,20,
1908-12-28,Italy,7,38.17,15.58,75000,3778163
1907-01-14,Jamaica,6.5,18.2,-76.8,1200,942214
1923-09-01,Japan,8.1,35.413,139.298,143000,10270175
